Name,new_name
WALMART INCO. 1993 6 3/4% 15/10/23 S - RED. YIELD,WALMART INCO.
THE BOEING COMPANY 1993 6 7/8% 15/10/43 S - RED. YIELD,THE BOEING COMPANY
TIME WARN.CAB.ENTS. 1993 8 3/8% 15/03/23 S - RED. YIELD,TIME WARNER CABLE
JOHNSON & JOHNSON 1993 6.73% 15/11/23 S - RED. YIELD,JOHNSON & JOHNSON
THE LNA.LD.&.EXP. 1993 7.65% 01/12/23 S - RED. YIELD,THE LNA.LD.&.EXP.
TIME WARN.CAB.ENTS. 1994 8 3/8% 15/07/33 B - RED. YIELD,TIME WARNER CABLE
THE BOEING COMPANY 1994 7 1/2% 15/08/42 S - RED. YIELD,THE BOEING COMPANY
LOCKHEED MARTIN 1994 8 3/8% 15/06/24 S - RED. YIELD,LOCKHEED MARTIN
THE P&G.CO. 1994 8% 01/09/24 P09/14 - RED. YIELD,P&G
ANADARKO PTL CORP 1995 7 1/4% 15/03/25 P03/00 - RED. YIELD,ANADARKO PTL CORP
BURLINGTON RES.LLC 1995 8.2% 15/03/25 S - RED. YIELD,BURLINGTON RES.LLC
COLGATE-PALMOLIVE 1995 7.6% 19/05/25 B - RED. YIELD,COLGATE-PALMOLIVE
UNION CARBIDE CORP. 1995 6.79% 01/06/25 P06/05 - RED. YIELD,UNION CARBIDE CORP.
UNION CARBIDE CORP. 1995 7 1/2% 01/06/25 S - RED. YIELD,UNION CARBIDE CORP.
LOCKHEED MARTIN 1995 7 5/8% 15/06/25 S - RED. YIELD,LOCKHEED MARTIN
ELI LILLY AND CO. 1995 7 1/8% 01/06/25 S - RED. YIELD,ELI LILLY AND CO.
DUKE EN.OHIO INCO. 1995 6.9% 01/06/25 P06/05 - RED. YIELD,DUKE
GENERAL ELEC CO 1995 7 1/2% 21/08/35 S - RED. YIELD,GENERAL ELEC CO
PDMNT NATGS COIC 1995 7.4% 03/10/25 B - RED. YIELD,PDMNT NATGS COIC
BELLSOUTH TELECOM. 1995 7% 01/10/25 S - RED. YIELD,BELLSOUTH
BELLSOUTH TELECOM. 1995 7% 01/10/25 MBIA - RED. YIELD,BELLSOUTH
EL PASO LLC 1995 7 3/4% 15/10/35 S - RED. YIELD,EL PASO
INTL BUS MCHS CORP 1995 7% 30/10/25 S - RED. YIELD,INTL BUS MCHS CORP
INTL BUS MCHS CORP 1995 7% 30/10/45 S - RED. YIELD,INTL BUS MCHS CORP
FORD MOTOR COMPANY 1995 7 1/8% 15/11/25 S - RED. YIELD,FORD
BELLSOUTH TELECOM. 1995 5.85% 15/11/45 P11/00 - RED. YIELD,BELLSOUTH
BELLSOUTH TELECOM. 1995 7% 01/12/95 S - RED. YIELD,BELLSOUTH
EL PASO TEN PIPE 1995 7 1/4% 15/12/25 S - RED. YIELD,EL PASO
MERCK & CO.INCO. 1996 6.3% 01/01/26 S - RED. YIELD,MERCK
THE P&G.CO. 1996 6.45% 15/01/26 S - RED. YIELD,P&G
ELI LILLY AND CO. 1996 6.77% 01/01/36 S - RED. YIELD,ELI LILLY AND CO.
HISTORIC TW INCO. 1996 6.85% 15/01/26 P01/03 - RED. YIELD,HISTORIC TW INCO.
COMCAST CAB COMMS 1996 7 7/8% 15/02/26 S - RED. YIELD,COMCAST
BURLINGTON RES.LLC 1996 6 7/8% 15/02/26 S - RED. YIELD,BURLINGTON RES.LLC
LOCKHEED MARTIN 1996 7 3/4% 01/05/26 S - RED. YIELD,LOCKHEED MARTIN
LOCKHEED MARTIN 1996 7.2% 01/05/36 P05/08 - RED. YIELD,LOCKHEED MARTIN
VALERO ENERGY CORP. 1996 7.65% 01/07/26 P07/06 - RED. YIELD,VALERO ENERGY CORP.
FORD MOTOR COMPANY 1996 7 1/2% 01/08/26 S - RED. YIELD,FORD
INDIANA BELL TEL. 1996 7.3% 15/08/26 S - RED. YIELD,INDIANA BELL TEL.
ANADARKO PTL CORP 1996 7.73% 15/09/96 P09/26 - RED. YIELD,ANADARKO PTL CORP
PEPSI-COLA MET.BT. 1996 7.29% 15/09/26 P09/04 - RED. YIELD,PEPSI-COLA
COCA-COLA RFRS USA 1996 7% 01/10/26 P10/06 - RED. YIELD,COCA-COLA
UNION CARBIDE CORP. 1996 7 3/4% 01/10/96 S - RED. YIELD,UNION CARBIDE CORP.
COCA-COLA RFRS USA 1996 6.7% 15/10/36 P10/03 - RED. YIELD,COCA-COLA
ANADARKO PTL CORP 1996 7 1/2% 15/10/26 S - RED. YIELD,ANADARKO PTL CORP
FORD MOTOR COMPANY 1996 7.4% 01/11/46 S - RED. YIELD,FORD
ANADARKO PTL CORP 1996 7 1/2% 01/11/96 S - RED. YIELD,ANADARKO PTL CORP
ANADARKO PTL CORP 1996 7 1/4% 15/11/96 S - RED. YIELD,ANADARKO PTL CORP
EL PASO NTRL.GAS 1996 7 1/2% 15/11/26 S - RED. YIELD,EL PASO
BELLSOUTH LLC 1996 6.04% 15/11/26 P11/06 - RED. YIELD,BELLSOUTH
BRISTOL-MR.SQUIBB 1996 6.8% 15/11/26 S - RED. YIELD,BRISTOL-MR.SQUIBB
COCA-COLA RFRS USA 1996 6.95% 15/11/26 S - RED. YIELD,COCA-COLA
WISCONSIN BELL 1996 6.35% 01/12/26 P12/06 - RED. YIELD,WISCONSIN BELL
INTL BUS MCHS CORP 1996 7 1/8% 01/12/96 S - RED. YIELD,INTL BUS MCHS CORP
TENNECO INCO 1996 7.45% 15/12/25 B - RED. YIELD,TENNECO INCO
ALTRIA GROUP INCO 1997 7 3/4% 15/01/27 S - RED. YIELD,ALTRIA GROUP INCO
COMCAST MO GROUP 1997 7.9% 01/02/27 S - RED. YIELD,COMCAST
COMCAST MO GROUP 1997 7.95% 01/02/97 S - RED. YIELD,COMCAST
EL PASO LLC 1997 7.42% 15/02/37 S - RED. YIELD,EL PASO
CATERPILLAR INCO 1997 7 3/8% 01/03/97 S - RED. YIELD,CATERPILLAR INCO
TENNESSEE GAS PIPE 1997 7% 15/03/27 P03/07 - RED. YIELD,TENNESSEE GAS PIPE
TENNESSEE GAS PIPE 1997 7 5/8% 01/04/37 S - RED. YIELD,TENNESSEE GAS PIPE
COCA-COLA RFRS USA 1997 5.71% 18/03/37 P03/21 - RED. YIELD,COCA-COLA
AMGEN INCORPORATED 1997 8 1/8% 01/04/97 S - RED. YIELD,AMGEN INCORPORATED
FORD MOTOR COMPANY 1997 7.7% 15/05/97 S - RED. YIELD,FORD
MERCK SHARP & DOHME 1997 5.76% 03/05/37 B - RED. YIELD,MERCK
LOWE S COS.INCO. 1997 7.11% 15/05/37 P05/17 - RED. YIELD,LOWE S COS.INCO.
THE P&G.CO. 1997 8 3/4% 01/06/22 S - RED. YIELD,P&G
COLORADO INTERSTATE 1997 6.85% 15/06/37 P06/07 - RED. YIELD,COLORADO INTERSTATE
FEDEX CORPORATION 1997 7.6% 01/07/97 S - RED. YIELD,FEDEX CORPORATION
ATLANTA GAS LT.CO. 1997 7.3% 15/07/27 C - RED. YIELD,ATLANTA GAS LT.CO.
BELLSOUTH LLC 1997 7.12% 15/07/97 S - RED. YIELD,BELLSOUTH
INTL BUS MCHS CORP 1997 6.22% 01/08/27 P08/04 - RED. YIELD,INTL BUS MCHS CORP
BRISTOL-MR.SQUIBB 1997 6 7/8% 01/08/97 S - RED. YIELD,BRISTOL-MR.SQUIBB
RAYTHEON CO. 1997 7.2% 15/08/27 S - RED. YIELD,RAYTHEON CO.
CONOCOPHILLIPS CO. 1997 7.8% 01/01/27 B - RED. YIELD,CONOCOPHILLIPS
CONOCOPHILLIPS CO. 1997 7.9% 01/01/47 B - RED. YIELD,CONOCOPHILLIPS
LOWE S COS.INCO. 1997 7.2% 01/09/27 B - RED. YIELD,LOWE S COS.INCO.
HISTORIC TW INCO. 1997 7.57% 01/02/24 S - RED. YIELD,HISTORIC TW INCO.
AMERITECH CAP.FDG. 1997 6 7/8% 15/10/27 S - RED. YIELD,AMERITECH CAP.FDG.
VALERO ENERGY CORP. 1997 6 3/4% 15/10/37 P10/09 - RED. YIELD,VALERO ENERGY CORP.
VALERO ENERGY CORP. 1997 7.45% 15/10/97 S - RED. YIELD,VALERO ENERGY CORP.
COMCAST CAB COMMS 1997 8 1/2% 01/05/27 P05/09 - RED. YIELD,COMCAST
KINDER MORGAN INCO. 1997 6.67% 01/11/27 P11/04 - RED. YIELD,KINDER MORGAN
GOODRICH CORP. 1997 7.1% 15/11/27 A - RED. YIELD,GOODRICH CORP.
ANADARKO PTL CORP 1997 7% 15/11/27 S - RED. YIELD,ANADARKO PTL CORP
SUSA PARTNERSHIP LP 1997 7 1/2% 01/12/27 S - RED. YIELD,SUSA PARTNERSHIP LP
PHARMACIA LLC 1997 6 3/4% 15/12/27 S - RED. YIELD,PHARMACIA LLC
MCDONALD S CORP. 1998 6 3/8% 08/01/28 S - RED. YIELD,MCDONALD S CORP.
ANADARKO PTL CORP 1998 6 5/8% 15/01/28 S - RED. YIELD,ANADARKO PTL CORP
COCA-COLA RFRS USA 1998 6 3/4% 15/01/38 S - RED. YIELD,COCA-COLA
INTL BUS MCHS CORP 1998 6 1/2% 15/01/28 S - RED. YIELD,INTL BUS MCHS CORP
TARGET CORPORATION 1998 6 3/4% 01/01/28 S - RED. YIELD,TARGET CORPORATION
THE HERTZ CORP. 1998 7% 15/01/28 S - RED. YIELD,THE HERTZ CORP.
AMERITECH CAP.FDG. 1998 6.55% 15/01/28 S - RED. YIELD,AMERITECH CAP.FDG.
AMERITECH CAP.FDG. 1998 5.95% 15/01/38 P01/05 - RED. YIELD,AMERITECH CAP.FDG.
UNION PACIFIC CORP. 1998 7 1/8% 01/02/28 S - RED. YIELD,UNION PACIFIC CORP.
LOWE S COS.INCO. 1998 6 7/8% 15/02/28 S - RED. YIELD,LOWE S COS.INCO.
DUKE EN.FLORIDA LLC 1998 6 3/4% 01/02/28 B - RED. YIELD,DUKE
3M COMPANY 1998 6 3/8% 15/02/28 S - RED. YIELD,3M COMPANY
FORD MOTOR COMPANY 1998 6 5/8% 15/02/28 S - RED. YIELD,FORD
COMCAST CAB COMMS 1998 7 1/8% 15/02/28 S - RED. YIELD,COMCAST
NTHN ILL.GAS CO. 1998 6.58% 15/02/28 S - RED. YIELD,NTHN ILL.GAS CO.
NTHN ILL.GAS CO. 1998 6.58% 15/02/28 AMBAC - RED. YIELD,NTHN ILL.GAS CO.
MERCK & CO.INCO. 1998 6.4% 01/03/28 S - RED. YIELD,MERCK
KINDER MORGAN INCO. 1998 7 1/4% 01/03/28 S - RED. YIELD,KINDER MORGAN
KINDER MORGAN INCO. 1998 7.45% 01/03/98 S - RED. YIELD,KINDER MORGAN
HISTORIC TW INCO. 1998 6.95% 15/01/28 B - RED. YIELD,HISTORIC TW INCO.
OCCIDENT PTL CORP 1998 7.2% 01/04/28 S - RED. YIELD,OCCIDENT PTL CORP
VERIZON NEW YORK 1998 6 1/2% 15/04/28 S - RED. YIELD,VERIZON
VERIZON COMMS INCO 1998 6.94% 15/04/28 S - RED. YIELD,VERIZON
GOODRICH CORP. 1998 7% 15/04/38 S - RED. YIELD,GOODRICH CORP.
ANADARKO PTL CORP 1998 7.15% 15/05/28 S - RED. YIELD,ANADARKO PTL CORP
COCA-COLA RFRS USA 1998 7% 15/05/98 S - RED. YIELD,COCA-COLA
BELLSOUTH TELECOM. 1998 6 3/8% 01/06/28 S - RED. YIELD,BELLSOUTH
FORD HOLDINGS LLC 1998 9.3% 01/03/30 S - RED. YIELD,FORD
FORD MOTOR COMPANY 1998 8.9% 15/01/32 S - RED. YIELD,FORD
FORD MOTOR COMPANY 1998 9.98% 15/02/47 S - RED. YIELD,FORD
FORD MOTOR COMPANY 1998 9.215% 15/09/21 S - RED. YIELD,FORD
EL PASO LLC 1998 6.95% 01/06/28 S - RED. YIELD,EL PASO
DUKE EN.OHIO INCO. 1998 6.35% 15/06/38 P06/03 - RED. YIELD,DUKE
HONEYWELL INTL 1998 6 5/8% 15/06/28 S - RED. YIELD,HONEYWELL INTL
COLGATE-PALMOLIVE 1998 6.45% 16/06/28 C - RED. YIELD,COLGATE-PALMOLIVE
HONEYWELL INTL 1998 9.065% 01/06/33 S - RED. YIELD,HONEYWELL INTL
THE BOEING COMPANY 1998 6 5/8% 15/02/38 S - RED. YIELD,THE BOEING COMPANY
KRAFT HEINZ FOODS 1998 6 3/8% 15/07/28 S - RED. YIELD,KRAFT HEINZ FOODS
CATERPILLAR INCO 1998 6 5/8% 15/07/28 S - RED. YIELD,CATERPILLAR INCO
TARGET CORPORATION 1998 6.65% 01/08/28 S - RED. YIELD,TARGET CORPORATION
UNITED TECHNOLOGIES 1998 6.7% 01/08/28 S - RED. YIELD,UNITED TECHNOLOGIES
COCA-COLA RFRS USA 1998 6 3/4% 15/09/28 S - RED. YIELD,COCA-COLA
FORD MOTOR COMPANY 1998 6 5/8% 01/10/28 S - RED. YIELD,FORD
TENNESSEE GAS PIPE 1998 7% 15/10/28 S - RED. YIELD,TENNESSEE GAS PIPE
SECURITY CAP.GROUP 1998 7.7% 15/06/28 S - RED. YIELD,SECURITY CAP.GROUP
RAYTHEON CO. 1998 7% 01/11/28 S - RED. YIELD,RAYTHEON CO.
HISTORIC TW INCO. 1998 6 5/8% 15/05/29 S - RED. YIELD,HISTORIC TW INCO.
MERCK SHARP & DOHME 1998 5.95% 01/12/28 S - RED. YIELD,MERCK
DUKE ENERGY CRIS. 1998 6% 01/12/28 A - RED. YIELD,DUKE
PHARMACIA LLC 1998 6.6% 01/12/28 144A - RED. YIELD,PHARMACIA LLC
VERIZON PENN.LLC 1998 6% 01/12/28 S - RED. YIELD,VERIZON
UNION PACIFIC CORP. 1999 6 5/8% 01/02/29 S - RED. YIELD,UNION PACIFIC CORP.
