Name,new_name
DUKE EN.OHIO INCO. 2003 5.4% 15/06/33 A - RED. YIELD,DUKE
DUKE EN.OHIO INCO. 2003 5 3/8% 15/06/33 B - RED. YIELD,DUKE
VERIZON MARYLAND 2003 5 1/8% 15/06/33 B - RED. YIELD,VERIZON
BALTIMORE G&E.CO. 2003 5.2% 15/06/33 S - RED. YIELD,BALTIMORE G&E.CO.
EL PASO NTRL.GAS 2003 8 3/8% 15/06/32 B - RED. YIELD,EL PASO
DUKE ENERGY PRG.LLC 2003 6 1/8% 15/09/33 S - RED. YIELD,DUKE
FLA PWR& LT CO 2003 5.95% 01/10/33 S - RED. YIELD,FLA PWR& LT CO
NTHN ILL.GAS CO. 2003 5.8% 01/12/23 S - RED. YIELD,NTHN ILL.GAS CO.
NTHN ILL.GAS CO. 2003 5.9% 01/12/32 S - RED. YIELD,NTHN ILL.GAS CO.
NTHN ILL.GAS CO. 2003 5.9% 01/12/33 S - RED. YIELD,NTHN ILL.GAS CO.
WYETH LLC 2003 6 1/2% 01/02/34 S - RED. YIELD,WYETH LLC
WYETH LLC 2003 6.45% 01/02/24 S - RED. YIELD,WYETH LLC
PDMNT NATGS COIC 2003 6% 19/12/33 S - RED. YIELD,PDMNT NATGS COIC
THE P&G.CO. 2004 5 1/2% 01/02/34 S - RED. YIELD,P&G
FLA PWR& LT CO 2004 5.65% 01/02/35 S - RED. YIELD,FLA PWR& LT CO
POTOMAC ELPW.CO. 2004 5 3/4% 15/04/34 S - RED. YIELD,POTOMAC ELPW.CO.
ATLANTIC CITY ELEC. 2004 5.8% 15/05/34 S - RED. YIELD,ATLANTIC CITY ELEC.
PECO ENERGY CO. 2004 5.9% 01/05/34 S - RED. YIELD,PECO ENERGY CO.
UNION PACIFIC CORP. 2004 6 1/4% 01/05/34 S - RED. YIELD,UNION PACIFIC CORP.
BELLSOUTH LLC 2004 6.55% 15/06/34 S - RED. YIELD,BELLSOUTH
THE P&G.CO. 2004 5.8% 15/08/34 S - RED. YIELD,P&G
AT&T INCORPORATED 2004 6.45% 15/06/34 S - RED. YIELD,AT&T
SOUTHERN CO.GAS 2004 6% 01/10/34 S - RED. YIELD,SOUTHERN NATURAL GAS
AT&T INCORPORATED 2004 6.15% 15/09/34 S - RED. YIELD,AT&T
BELLSOUTH LLC 2004 6% 15/11/34 S - RED. YIELD,BELLSOUTH
KINDER MORGAN EN. 2005 5.8% 15/03/35 S - RED. YIELD,KINDER MORGAN
DUKE ENERGY PRG.LLC 2005 5.7% 01/04/35 S - RED. YIELD,DUKE
UNITED TECHNOLOGIES 2005 5.4% 01/05/35 S - RED. YIELD,UNITED TECHNOLOGIES
PEPSI-COLA MET.BT. 2005 5 1/2% 15/05/35 S - RED. YIELD,PEPSI-COLA
POTOMAC ELPW.CO. 2005 5.4% 01/06/35 S - RED. YIELD,POTOMAC ELPW.CO.
FLA PWR& LT CO 2005 4.95% 01/06/35 S - RED. YIELD,FLA PWR& LT CO
COMCAST CORPORATION 2005 5.65% 15/06/35 S - RED. YIELD,COMCAST
EXELON CORPORATION 2005 5 5/8% 15/06/35 S - RED. YIELD,EXELON
MONSANTO COMPANY 2005 5 1/2% 30/07/35 S - RED. YIELD,MONSANTO COMPANY
MONSANTO COMPANY 2005 5 1/2% 30/07/35 S - RED. YIELD,MONSANTO COMPANY
KINDER MORGAN INCO. 2005 6.7% 15/02/27 144A - RED. YIELD,KINDER MORGAN
WALMART INCO. 2005 5 1/4% 01/09/35 S - RED. YIELD,WALMART INCO.
CATERPILLAR INCO 2005 5.3% 15/09/35 S - RED. YIELD,CATERPILLAR INCO
VERIZON COMMS INCO 2005 5.85% 15/09/35 S - RED. YIELD,VERIZON
FLA PWR& LT CO 2005 5.4% 01/09/35 S - RED. YIELD,FLA PWR& LT CO
LOWE S COS.INCO. 2005 5 1/2% 15/10/35 S - RED. YIELD,LOWE S COS.INCO.
SKY GROUP FIN.LTD. 2005 6 1/2% 15/10/35 144A - RED. YIELD,SKY GROUP FIN.LTD.
DUKE ENERGY INDIANA 2005 6.12% 15/10/35 S - RED. YIELD,DUKE
COMCAST CORPORATION 2005 6 1/2% 15/11/35 S - RED. YIELD,COMCAST
GENERAL ELEC CO 2006 5.55% 05/01/26 A - RED. YIELD,GENERAL ELEC CO
FLA PWR& LT CO 2006 5.65% 01/02/37 S - RED. YIELD,FLA PWR& LT CO
WYETH LLC 2006 6% 15/02/36 B - RED. YIELD,WYETH LLC
MONSANTO COMPANY 2006 5 1/2% 15/08/25 B - RED. YIELD,MONSANTO COMPANY
KINDER MORGAN FIN. 2006 6.4% 05/01/36 B - RED. YIELD,KINDER MORGAN
COMCAST CORPORATION 2006 6.45% 15/03/37 S - RED. YIELD,COMCAST
UNITEDHEALTH GROUP 2006 5.8% 15/03/36 S - RED. YIELD,UNITEDHEALTH GROUP
COMMONWEALTH EDISON 2006 5.9% 15/03/36 103 - RED. YIELD,COMMONWEALTH EDISON
COMMONWEALTH EDISON 2006 5.9% 15/03/36 103 (AM - RED. YIELD,COMMONWEALTH EDISON
DUKE EN.KEN.INCO. 2006 6.2% 10/03/36 144A - RED. YIELD,DUKE
HONEYWELL INTL 2006 5.7% 15/03/36 S - RED. YIELD,HONEYWELL INTL
XTO ENERGY INCO. 2006 6.1% 01/04/36 S - RED. YIELD,XTO ENERGY INCO.
AT&T INCORPORATED 2006 6.8% 15/05/36 S - RED. YIELD,AT&T
UNITED TECHNOLOGIES 2006 6.05% 01/06/36 S - RED. YIELD,UNITED TECHNOLOGIES
AETNA INCORPORATED 2006 6 5/8% 15/06/36 S - RED. YIELD,AETNA INCORPORATED
CATERPILLAR INCO 2006 6.05% 15/08/36 S - RED. YIELD,CATERPILLAR INCO
KINDER MORGAN INCO. 2006 7.42% 15/02/37 B - RED. YIELD,KINDER MORGAN
KINDER MORGAN INCO. 2006 6.95% 01/06/28 S - RED. YIELD,KINDER MORGAN
KINDER MORGAN INCO. 2006 6.7% 15/02/27 P02/07 - RED. YIELD,KINDER MORGAN
ANADARKO PTL CORP 2006 6.45% 15/09/36 S - RED. YIELD,ANADARKO PTL CORP
PECO ENERGY CO. 2006 5.95% 01/10/36 S - RED. YIELD,PECO ENERGY CO.
GOODRICH CORP. 2006 6.8% 01/07/36 B - RED. YIELD,GOODRICH CORP.
LOWE S COS.INCO. 2006 5.8% 15/10/36 S - RED. YIELD,LOWE S COS.INCO.
BALTIMORE G&E.CO. 2006 6.35% 01/10/36 144A - RED. YIELD,BALTIMORE G&E.CO.
BURLINGTON RES.LLC 2006 5.95% 15/10/36 S - RED. YIELD,BURLINGTON RES.LLC
WARNER MEDIA LLC 2006 6 1/2% 15/11/36 S - RED. YIELD,WARNER MEDIA LLC
MERCK & CO.INCO. 2006 5 3/4% 15/11/36 S - RED. YIELD,MERCK
BRISTOL-MR.SQUIBB 2006 5 7/8% 15/11/36 S - RED. YIELD,BRISTOL-MR.SQUIBB
LOCKHEED MARTIN 2006 6.15% 01/09/36 B - RED. YIELD,LOCKHEED MARTIN
THE HOME DEPOT 2006 5 7/8% 16/12/36 S - RED. YIELD,THE HOME DEPOT
FLA PWR& LT CO 2006 6.2% 01/06/36 B - RED. YIELD,FLA PWR& LT CO
KINDER MORGAN EN. 2007 6 1/2% 01/02/37 S - RED. YIELD,KINDER MORGAN
THE P&G.CO. 2007 5.55% 05/03/37 S - RED. YIELD,P&G
GEORGIA POWER CO 2007 5.65% 01/03/37 2007A - RED. YIELD,GEORGIA POWER CO
ELI LILLY AND CO. 2007 5.55% 15/03/37 S - RED. YIELD,ELI LILLY AND CO.
ELI LILLY AND CO. 2007 5 1/2% 15/03/27 S - RED. YIELD,ELI LILLY AND CO.
HONEYWELL INTL 2007 5.7% 15/03/37 S - RED. YIELD,HONEYWELL INTL
PECO ENERGY CO. 2007 5.7% 15/03/37 S - RED. YIELD,PECO ENERGY CO.
WYETH LLC 2007 5.95% 01/04/37 S - RED. YIELD,WYETH LLC
3M COMPANY 2007 5.7% 15/03/37 D - RED. YIELD,3M COMPANY
VERIZON COMMS INCO 2007 6 1/4% 01/04/37 S - RED. YIELD,VERIZON
WALMART INCO. 2007 5 7/8% 05/04/27 S - RED. YIELD,WALMART INCO.
FLA PWR& LT CO 2007 5.85% 01/05/37 S - RED. YIELD,FLA PWR& LT CO
UNION PACIFIC CORP. 2007 6.15% 01/05/37 S - RED. YIELD,UNION PACIFIC CORP.
GENERAL ELEC CO 2007 5.55% 04/05/20 A - RED. YIELD,GENERAL ELEC CO
POLAR TANKERS INCO. 2007 5.951% 10/05/37 144A - RED. YIELD,POLAR TANKERS INCO.
CVS HEALTH CORP. 2007 6 1/4% 01/06/27 S - RED. YIELD,CVS HEALTH CORP.
DUKE ENERGY CRIS. 2007 6.1% 01/06/37 S - RED. YIELD,DUKE
VALERO ENERGY CORP. 2007 6 5/8% 15/06/37 S - RED. YIELD,VALERO ENERGY CORP.
KINDER MORGAN EN. 2007 6.95% 15/01/38 S - RED. YIELD,KINDER MORGAN
XTO ENERGY INCO. 2007 6 3/4% 01/08/37 S - RED. YIELD,XTO ENERGY INCO.
BALTIMORE G&E.CO. 2007 6.35% 01/10/36 S - RED. YIELD,BALTIMORE G&E.CO.
GENERAL ELEC CO 2007 6.15% 07/08/37 SERIES - RED. YIELD,GENERAL ELEC CO
MONDELEZ INTL INCO 2007 7% 11/08/37 S - RED. YIELD,MONDELEZ INTL INCO
JOHNSON & JOHNSON 2007 5.95% 15/08/37 S - RED. YIELD,JOHNSON & JOHNSON
COMCAST CORPORATION 2007 6.95% 15/08/37 S - RED. YIELD,COMCAST
WALMART INCO. 2007 6 1/2% 15/08/37 S - RED. YIELD,WALMART INCO.
AT&T INCORPORATED 2007 6 1/2% 01/09/37 S - RED. YIELD,AT&T
LOWE S COS.INCO. 2007 6.65% 15/09/37 S - RED. YIELD,LOWE S COS.INCO.
MERCK & CO.INCO. 2007 6.55% 15/09/37 S - RED. YIELD,MERCK
DUKE EN.FLORIDA LLC 2007 6.35% 15/09/37 S - RED. YIELD,DUKE
TARGET CORPORATION 2007 6 1/2% 15/10/37 S - RED. YIELD,TARGET CORPORATION
MCDONALD S CORP. 2007 6.3% 15/10/37 I - RED. YIELD,MCDONALD S CORP.
TIME WARNER CABLE 2007 6.55% 01/05/37 B - RED. YIELD,TIME WARNER CABLE
ABBOTT LABORATORIES 2007 6.15% 30/11/37 S - RED. YIELD,ABBOTT LABORATORIES
POTOMAC ELPW.CO. 2007 6 1/2% 15/11/37 S - RED. YIELD,POTOMAC ELPW.CO.
AETNA INCORPORATED 2007 6 3/4% 15/12/37 S - RED. YIELD,AETNA INCORPORATED
AT&T INCORPORATED 2007 6.3% 15/01/38 S - RED. YIELD,AT&T
MONDELEZ INTL INCO 2007 6 7/8% 01/02/38 S - RED. YIELD,MONDELEZ INTL INCO
DUKE ENERGY CRIS. 2008 6% 15/01/38 S - RED. YIELD,DUKE
GENERAL ELEC CO 2008 5 7/8% 14/01/38 A - RED. YIELD,GENERAL ELEC CO
UNITED PARCEL SER 2008 6.2% 15/01/38 S - RED. YIELD,UNITED PARCEL SER
COMMONWEALTH EDISON 2008 6.45% 15/01/38 107 - RED. YIELD,COMMONWEALTH EDISON
FLA PWR& LT CO 2008 5.95% 01/02/38 S - RED. YIELD,FLA PWR& LT CO
TARGET CORPORATION 2008 7% 15/01/38 S - RED. YIELD,TARGET CORPORATION
UNITEDHEALTH GROUP 2008 6 7/8% 15/02/38 S - RED. YIELD,UNITEDHEALTH GROUP
VERIZON COMMS INCO 2008 6.4% 15/02/38 S - RED. YIELD,VERIZON
UNITEDHEALTH GROUP 2008 6 5/8% 15/11/37 B - RED. YIELD,UNITEDHEALTH GROUP
UNITEDHEALTH GROUP 2008 6 1/2% 15/06/37 B - RED. YIELD,UNITEDHEALTH GROUP
AMGEN INCORPORATED 2008 6 3/8% 01/06/37 B - RED. YIELD,AMGEN INCORPORATED
MCDONALD S CORP. 2008 6.3% 01/03/38 I - RED. YIELD,MCDONALD S CORP.
DUKE ENERGY PRG.LLC 2008 6.3% 01/04/38 S - RED. YIELD,DUKE
VERIZON COMMS INCO 2008 6.9% 15/04/38 S - RED. YIELD,VERIZON
ORACLE CORPORATION 2008 6 1/2% 15/04/38 S - RED. YIELD,ORACLE CORPORATION
DUKE ENERGY CRIS. 2008 6.05% 15/04/38 B - RED. YIELD,DUKE
MONSANTO COMPANY 2008 5 7/8% 15/04/38 S - RED. YIELD,MONSANTO COMPANY
WALMART INCO. 2008 6.2% 15/04/38 S - RED. YIELD,WALMART INCO.
XTO ENERGY INCO. 2008 6 3/8% 15/06/38 S - RED. YIELD,XTO ENERGY INCO.
BRISTOL-MR.SQUIBB 2008 6 1/8% 01/05/38 S - RED. YIELD,BRISTOL-MR.SQUIBB
COMCAST CORPORATION 2008 6.4% 15/05/38 S - RED. YIELD,COMCAST
CONOCOPHILLIPS 2008 5.9% 15/05/38 S - RED. YIELD,CONOCOPHILLIPS
AT&T INCORPORATED 2008 6.4% 15/05/38 S - RED. YIELD,AT&T
ALABAMA POWER CO 2008 6 1/8% 15/05/38 2008A - RED. YIELD,ALABAMA POWER CO
PHI.MOS.INTL.INCO. 2008 6 3/8% 16/05/38 S - RED. YIELD,PHI.MOS.INTL.INCO.
UNITED TECHNOLOGIES 2008 6 1/8% 15/07/38 S - RED. YIELD,UNITED TECHNOLOGIES
MONDELEZ INTL INCO 2008 6 7/8% 26/01/39 S - RED. YIELD,MONDELEZ INTL INCO
AMGEN INCORPORATED 2008 6.9% 01/06/38 S - RED. YIELD,AMGEN INCORPORATED
COVIDIEN INTL.FIN. 2008 6.55% 15/10/37 B - RED. YIELD,COVIDIEN INTL.FIN.
DUKE EN.FLORIDA LLC 2008 6.4% 15/06/38 S - RED. YIELD,DUKE
TIME WARNER CABLE 2008 7.3% 01/07/38 S - RED. YIELD,TIME WARNER CABLE
JOHNSON & JOHNSON 2008 5.85% 15/07/38 S - RED. YIELD,JOHNSON & JOHNSON
CAMERON INTL.CORP. 2008 7% 15/07/38 S - RED. YIELD,CAMERON INTL.CORP.
DUKE ENERGY INDIANA 2008 6.35% 15/08/38 LLL - RED. YIELD,DUKE
CTPR FINL SVS CORP 2008 6% 15/10/28 POWERNO - RED. YIELD,CTPR FINL SVS CORP
INTL BUS MCHS CORP 2008 8% 15/10/38 S - RED. YIELD,INTL BUS MCHS CORP
VERIZON COMMS INCO 2008 8.95% 01/03/39 S - RED. YIELD,VERIZON
ALTRIA GROUP INCO 2008 9.95% 10/11/38 S - RED. YIELD,ALTRIA GROUP INCO
CATERPILLAR INCO 2008 8 1/4% 15/12/38 S - RED. YIELD,CATERPILLAR INCO
POTOMAC ELPW.CO. 2008 7.9% 15/12/38 S - RED. YIELD,POTOMAC ELPW.CO.
GENERAL ELEC CO 2009 6 7/8% 10/01/39 A - RED. YIELD,GENERAL ELEC CO
AMGEN INCORPORATED 2009 6.4% 01/02/39 S - RED. YIELD,AMGEN INCORPORATED
MCDONALD S CORP. 2009 5.7% 01/02/39 S - RED. YIELD,MCDONALD S CORP.
AT&T INCORPORATED 2009 6.55% 15/02/39 S - RED. YIELD,AT&T
CONOCOPHILLIPS 2009 6 1/2% 01/02/39 S - RED. YIELD,CONOCOPHILLIPS
ALTRIA GROUP INCO 2009 10.2% 06/02/39 S - RED. YIELD,ALTRIA GROUP INCO
GEORGIA POWER CO 2009 5.95% 01/02/39 2009A - RED. YIELD,GEORGIA POWER CO
CISCO SYSTEMS INCO. 2009 5.9% 15/02/39 S - RED. YIELD,CISCO SYSTEMS INCO.
ABBOTT LABORATORIES 2009 6% 01/04/39 S - RED. YIELD,ABBOTT LABORATORIES
ALABAMA POWER CO 2009 6% 01/03/39 2009A - RED. YIELD,ALABAMA POWER CO
ELI LILLY AND CO. 2009 5.95% 15/11/37 S - RED. YIELD,ELI LILLY AND CO.
MEDTRONIC INCO 2009 6 1/2% 15/03/39 S - RED. YIELD,MEDTRONIC INCO
THE BOEING COMPANY 2009 6 7/8% 15/03/39 S - RED. YIELD,THE BOEING COMPANY
FLA PWR& LT CO 2009 5.96% 01/04/39 S - RED. YIELD,FLA PWR& LT CO
VALERO ENERGY CORP. 2009 10 1/2% 15/03/39 S - RED. YIELD,VALERO ENERGY CORP.
DUKE ENERGY INDIANA 2009 6.45% 01/04/39 MMM - RED. YIELD,DUKE
PFIZER INCO 2009 7.2% 15/03/39 S - RED. YIELD,PFIZER INCO
VERIZON COMMS INCO 2009 7.35% 01/04/39 S - RED. YIELD,VERIZON
EMERSON ELEC.CO. 2009 6 1/8% 15/04/39 S - RED. YIELD,EMERSON ELEC.CO.
DOW CHEMICAL CO 2009 9.4% 15/05/39 S - RED. YIELD,DOW
MICROSOFT CORP 2009 5.2% 01/06/39 S - RED. YIELD,MICROSOFT CORP
ANADARKO PTL CORP 2009 7.95% 15/06/39 S - RED. YIELD,ANADARKO PTL CORP
COMCAST CORPORATION 2009 6.55% 01/07/39 S - RED. YIELD,COMCAST
MERCK & CO.INCO. 2009 5.85% 30/06/39 S - RED. YIELD,MERCK
TIME WARNER CABLE 2009 6 3/4% 15/06/39 S - RED. YIELD,TIME WARNER CABLE
ORACLE CORPORATION 2009 6 1/8% 08/07/39 S - RED. YIELD,ORACLE CORPORATION
THE BOEING COMPANY 2009 5 7/8% 15/02/40 S - RED. YIELD,THE BOEING COMPANY
KRAFT HEINZ FOODS 2009 7 1/8% 01/08/39 144A - RED. YIELD,KRAFT HEINZ FOODS
CVS HEALTH CORP. 2009 6 1/8% 15/09/39 S - RED. YIELD,CVS HEALTH CORP.
KINDER MORGAN EN. 2009 6 1/2% 01/09/39 S - RED. YIELD,KINDER MORGAN
KINDER MORGAN EN. 2009 5.8% 01/03/21 S - RED. YIELD,KINDER MORGAN
EXELON GNRTN.CO.LLC 2009 6 1/4% 01/10/39 S - RED. YIELD,EXELON
PIPELINE FDG.CO.LLC 2009 7 1/2% 15/01/30 144A - RED. YIELD,PIPELINE FDG.CO.LLC
EMERSON ELEC.CO. 2009 4 1/4% 15/11/20 S - RED. YIELD,EMERSON ELEC.CO.
EMERSON ELEC.CO. 2009 5 1/4% 15/11/39 S - RED. YIELD,EMERSON ELEC.CO.
CISCO SYSTEMS INCO. 2009 5 1/2% 15/01/40 S - RED. YIELD,CISCO SYSTEMS INCO.
LOCKHEED MARTIN 2009 5 1/2% 15/11/39 S - RED. YIELD,LOCKHEED MARTIN
DUKE ENERGY CRIS. 2009 5.3% 15/02/40 S - RED. YIELD,DUKE
PROGRESS EN.INCO. 2009 6% 01/12/39 S - RED. YIELD,PROGRESS EN.INCO.
INTL BUS MCHS CORP 2009 5.6% 30/11/39 S - RED. YIELD,INTL BUS MCHS CORP
PEPSICO INCO. 2010 5 1/2% 15/01/40 S - RED. YIELD,PEPSI-COLA
MONDELEZ INTL INCO 2010 6 1/2% 09/02/40 S - RED. YIELD,MONDELEZ INTL INCO
FLA PWR& LT CO 2010 5.69% 01/03/40 S - RED. YIELD,FLA PWR& LT CO
UNITED TECHNOLOGIES 2010 5.7% 15/04/40 S - RED. YIELD,UNITED TECHNOLOGIES
COMCAST CORPORATION 2010 6.4% 01/03/40 S - RED. YIELD,COMCAST
WARNER MEDIA LLC 2010 6.2% 15/03/40 S - RED. YIELD,WARNER MEDIA LLC
AMGEN INCORPORATED 2010 5 3/4% 15/03/40 S - RED. YIELD,AMGEN INCORPORATED
ANADARKO PTL CORP 2010 6.2% 15/03/40 S - RED. YIELD,ANADARKO PTL CORP
MEDTRONIC INCO 2010 5.55% 15/03/40 S - RED. YIELD,MEDTRONIC INCO
DUKE EN.FLORIDA LLC 2010 5.65% 01/04/40 S - RED. YIELD,DUKE
DUKE EN.FLORIDA LLC 2010 4.55% 01/04/20 S - RED. YIELD,DUKE
KINDER MORGAN EN. 2010 6 1/2% 01/04/20 S - RED. YIELD,KINDER MORGAN
WALMART INCO. 2010 5 5/8% 01/04/40 S - RED. YIELD,WALMART INCO.
GULF POWER COMPANY 2010 4 3/4% 15/04/20 2010A - RED. YIELD,GULF POWER COMPANY
LOWE S COS.INCO. 2010 4 5/8% 15/04/20 S - RED. YIELD,LOWE S COS.INCO.
LOWE S COS.INCO. 2010 5.8% 15/04/40 S - RED. YIELD,LOWE S COS.INCO.
KINDER MORGAN EN. 2010 5.3% 15/09/20 S - RED. YIELD,KINDER MORGAN
KINDER MORGAN EN. 2010 6.55% 15/09/40 S - RED. YIELD,KINDER MORGAN
ABBOTT LABORATORIES 2010 5.3% 27/05/40 S - RED. YIELD,ABBOTT LABORATORIES
DIRECTV HOLDINGS 2010 6.35% 15/03/40 B - RED. YIELD,DIRECTV HOLDINGS
GEORGIA POWER CO 2010 5.4% 01/06/40 2010B - RED. YIELD,GEORGIA POWER CO
DUKE ENERGY CRIS. 2010 4.3% 15/06/20 S - RED. YIELD,DUKE
WALMART INCO. 2010 3 5/8% 08/07/20 S - RED. YIELD,WALMART INCO.
WALMART INCO. 2010 4 7/8% 08/07/40 S - RED. YIELD,WALMART INCO.
DUKE ENERGY INDIANA 2010 3 3/4% 15/07/20 PPP - RED. YIELD,DUKE
UNION PACIFIC CORP. 2010 5.78% 15/07/40 144A - RED. YIELD,UNION PACIFIC CORP.
WARNER MEDIA LLC 2010 6.1% 15/07/40 S - RED. YIELD,WARNER MEDIA LLC
ORACLE CORPORATION 2010 5 3/8% 15/07/40 144A - RED. YIELD,ORACLE CORPORATION
ORACLE CORPORATION 2010 3 7/8% 15/07/20 144A - RED. YIELD,ORACLE CORPORATION
COMMONWEALTH EDISON 2010 4% 01/08/20 109 - RED. YIELD,COMMONWEALTH EDISON
MCDONALD S CORP. 2010 3 1/2% 15/07/20 S - RED. YIELD,MCDONALD S CORP.
MCDONALD S CORP. 2010 4 7/8% 15/07/40 S - RED. YIELD,MCDONALD S CORP.
UNION PACIFIC CORP. 2010 4% 01/02/21 S - RED. YIELD,UNION PACIFIC CORP.
DIRECTV HOLDINGS 2010 6% 15/08/40 S - RED. YIELD,DIRECTV HOLDINGS
JOHNSON & JOHNSON 2010 2.95% 01/09/20 S - RED. YIELD,JOHNSON & JOHNSON
JOHNSON & JOHNSON 2010 4 1/2% 01/09/40 S - RED. YIELD,JOHNSON & JOHNSON
GEORGIA POWER CO 2010 4 3/4% 01/09/40 C - RED. YIELD,GEORGIA POWER CO
AT&T INCORPORATED 2010 5.35% 01/09/40 144A - RED. YIELD,AT&T
THE HOME DEPOT 2010 3.95% 15/09/20 S - RED. YIELD,THE HOME DEPOT
THE HOME DEPOT 2010 5.4% 15/09/40 S - RED. YIELD,THE HOME DEPOT
ALLERGAN INCO. 2010 3 3/8% 15/09/20 S - RED. YIELD,ALLERGAN INCO.
AMGEN INCORPORATED 2010 4.95% 01/10/41 S - RED. YIELD,AMGEN INCORPORATED
GENERAL ELEC CO 2010 4 3/8% 16/09/20 A - RED. YIELD,GENERAL ELEC CO
GULF POWER COMPANY 2010 5.1% 01/10/40 2010B - RED. YIELD,GULF POWER COMPANY
EL PASO LLC 2010 6 1/2% 15/09/20 144A - RED. YIELD,EL PASO
MICROSOFT CORP 2010 3% 01/10/20 S - RED. YIELD,MICROSOFT CORP
MICROSOFT CORP 2010 4 1/2% 01/10/40 S - RED. YIELD,MICROSOFT CORP
EXELON GNRTN.CO.LLC 2010 4% 01/10/20 S - RED. YIELD,EXELON
EXELON GNRTN.CO.LLC 2010 5 3/4% 01/10/41 S - RED. YIELD,EXELON
